open-iscsi 2.1.10-1
open-isns 0.103-1
open-vm-tools 6:12.5.0-1
openal 1.24.1-1
openbsd-netcat 1.226_1-3
openconnect 1:9.12-2
opencore-amr 0.1.6-2
openexr 3.3.2-1
openh264 2.5.0-1
openjpeg2 2.5.2-1
openpgp-card-tools 0.11.7-1
openssh 9.9p1-2
openssl 3.4.0-1
openvpn 2.6.12-1
opus 1.5.2-1
orc 0.4.40-1
os-prober 1.81-2
ostree 2024.9-1
p11-kit 0.25.5-1
pacman 7.0.0.r6.gc685ae6-1
pacman-contrib 1.10.6-2
pacman-mirrorlist 20240717-1
pahole 1:1.27-2
pam 1.7.0-1
pamac 11.7.2-1
pambase 20230918-2
pango 1:1.54.0-1
pangomm 2.46.4-1
pangomm-2.48 2.54.0-1
partclone 0.3.32-1
parted 3.6-2
partimage 0.6.9-15
passim 0.1.8-1
patch 2.7.6-10
pbzip2 1.1.13-3
pcaudiolib 1.2-3
pciutils 3.13.0-2
pcre 8.45-4
pcre2 10.44-1
pcsclite 2.3.0-1
